reference_name,classification,declared_in_data_foundation,select_reference_count,where_reference_count,join_reference_count,total_reference_count,notes
FCTV_INVOICE,CONFIRMED_TABLE,YES,1178,18,28,1224,
DIM_SALES_ORDER,CONFIRMED_TABLE,YES,397,4,3,404,
DIM_PROD_COST,CONFIRMED_TABLE,YES,220,0,1,221,
DIM_REC_TYPE,CONFIRMED_TABLE,YES,60,45,1,106,
DIM_PROD_MASTER,CONFIRMED_TABLE,YES,87,0,4,91,
DIM_PROD_COST_TODAY,CONFIRMED_TABLE,YES,71,0,1,72,
PAYER_CUST,CONFIRMED_TABLE,YES,66,0,1,67,
DIM_CUR_RATE,CONFIRMED_TABLE,YES,65,0,1,66,
DIM_GL_ENTRY_NONBILL,CONFIRMED_TABLE,YES,48,0,1,49,
DIM_DATE,CONFIRMED_TABLE,YES,45,0,1,46,
ULTIMATE_CUSTOMER,CONFIRMED_TABLE,YES,42,0,1,43,
DIM_INVOICE,CONFIRMED_TABLE,YES,40,0,2,42,
DIM_CUST,CONFIRMED_TABLE,YES,38,0,1,39,
IA_OPERATIONS_CHARACTERISTICS,CONFIRMED_TABLE,YES,33,0,1,34,
DIM_PROD_LINE,CONFIRMED_TABLE,YES,30,2,1,33,
CHANNEL_CUSTOMER,CONFIRMED_TABLE,YES,29,0,1,30,
IA_VBAP_FEATURE,CONFIRMED_TABLE,YES,28,0,1,29,
ENDUSER_CUSTOMER,CONFIRMED_TABLE,YES,24,0,1,25,
VAR_CUSTOMER,CONFIRMED_TABLE,YES,24,0,1,25,
DIM_ADDR,CONFIRMED_TABLE,YES,19,0,1,20,
DIM_CRM_SALES_ORG,CONFIRMED_TABLE,YES,17,0,1,18,
DIM_PO,CONFIRMED_TABLE,YES,17,0,1,18,
DIM_SHIP_CUST,CONFIRMED_TABLE,YES,17,0,1,18,
D,UNKNOWN,NO,15,0,0,15,Local SQL alias used inside a correlated subquery on DIM_DATE1 (e.g. 'FROM DIM_DATE1 D WHERE D...'); not a standalone physical object.
DIM_SOURCE_PLANT,CONFIRMED_TABLE,YES,13,0,1,14,
DIM_COMPANY,CONFIRMED_TABLE,YES,12,0,1,13,
DIM_SALES_ORG,CONFIRMED_TABLE,YES,8,1,1,10,
DIM_DISTR_CHANNEL,CONFIRMED_TABLE,YES,6,1,1,8,
DIM_OPPORTUNITY,CONFIRMED_TABLE,YES,7,0,1,8,
DIM_REGION_COUNTRY,CONFIRMED_TABLE,YES,7,0,1,8,
LKUP_FORECAST_DIV,UNKNOWN,NO,8,0,0,8,Referenced only in Forecast measure expressions; not declared in the DFX Tables (38) list.
LKUP_FORECAST_PROD,UNKNOWN,NO,8,0,0,8,Referenced only in Forecast measure expressions; not declared in the DFX Tables (38) list.
LKUP_FORECAST_TOTAL,UNKNOWN,NO,8,0,0,8,Referenced only in Forecast measure expressions; not declared in the DFX Tables (38) list.
STAGE_FORECAST_PROD,UNKNOWN,NO,6,0,0,6,Referenced only in one Forecast measure expression; not declared in the DFX Tables (38) list.
DIM_BILL_TO_CUST,CONFIRMED_TABLE,YES,4,0,1,5,
DIM_CRM_PARTNER,CONFIRMED_TABLE,YES,4,0,1,5,
DIM_DIVISION,UNKNOWN,NO,4,0,0,4,Referenced directly in a Select expression; not declared in the DFX Tables (38) list.
DIM_PROGRAM_MANAGER,CONFIRMED_TABLE,YES,1,0,1,2,
DIM_REGION_COUNTRY_INV,CONFIRMED_TABLE,YES,1,0,1,2,
DIM_REGION_COUNTRY_SALES,CONFIRMED_TABLE,YES,1,0,1,2,
TODAY_COST (DIM_PROD_COST),POSSIBLE_CALCULATION_VIEW,YES,0,0,1,1,
DATE_PERCENTAGE,POSSIBLE_CALCULATION_VIEW,YES,0,0,0,0,"Declared as a Derived Table; referenced via double-quoted ""DATE_PERCENTAGE"".""COLUMN"" syntax not detected by the current unquoted-column pattern."
DIM_DATE1,CONFIRMED_TABLE,YES,0,0,0,0,"Declared Data Foundation table; only referenced via the ""D"" alias inside a correlated subquery (see D's note), not via a direct TABLE.COLUMN pattern."
Master,CONFIRMED_VIEW,YES,0,0,0,0,Declared as a View; no direct TABLE.COLUMN reference detected in any Business Layer expression.
WORK_DAYS,POSSIBLE_CALCULATION_VIEW,YES,0,0,0,0,Declared as a Derived Table; no direct TABLE.COLUMN reference detected in any Business Layer expression.
